CKY_ART;DESCR;CATEGORIA;COSTO
0000000137;!CASE HANTOL 2732C 400 WATT;6;43,5
0000000138;!CPU AMD SEMPRON 2300 TRAY;22;60,57
0000000139;!MONITORRELISYS TL795A 17 L;47;232,5
0000000140;!BOX ESTERNO PER DRIVE 3.5/;34;27
0000000141;!<CAVO FIREWIRE 6P6P 3 MT;7;9,6
0000000142;!ACCESS POINT WIRELESS 54 MB;53;52,86
0000000143;!CPUINTEL CELERON D 345 3.0;20;103,5
0000000144;!SCHEDAVIDEO GE FORCE 6600 2;51;66,195
0000000145;!AURICOLARE BLUETOOTH CLASSI;45;22,5
0000000146;!SCHEDAVIDEO GE FORCE FX5500;51;50,205
0000000147;!MONITORRELISYS TE770 17 CR;31;115,5
0000000148;!LETTORE DVD LG GDR-8164 BIA;2;20,25
0000000149;!CASE HANTOL HY8 500W;6;45,345
0000000150;!FOTOCAMERADIGITALE HP PHOTO;15;139,365
0000000151;!CASE HANTOL H889BK 450 WATT;6;43,3209
0000000152;!CASE HANTOL H889S 450 WATT;6;43,3203
0000000153;!BUSTINA PVC (500PZ);8;14,625
0000000154;!BUSTINA PVC (1000PZ);8;21
0000000155;!BUSTINA PVC (5000PZ);8;71,25
0000000156;!NOTEBOOKACER ASPIRE 1522WLM;54;1245
0000000157;TONER COMPATIBILE SAMSUNG ML;43;15,63
0000000158;!INVIARE NUOVAMENTE TIMBRATO;12;7,5
0000000159;!NOTEBOOK SAMSUNG R700-AA01I;54;695,205
0000000160;!UPS HANTOL H-V800VA CON LCD;32;75
0000000161;!MONITORACER AL1714SM MULTIM;47;270
0000000162;!MONITORPHILIPS 107E61 17 C;31;120,225
0000000163;!MONITOR ASUS LCD22W (90LM28;31;425,79
0000000164;!WEB CAM DIGITAL ZONE;79;18
0000000165;!CASSE HANTOL H-8201 FM RADI;70;35,07
0000000166;!MOUSE TRUST 350B;50;18,75
0000000167;!MONITORACER AL1711 17 LCD;47;251,25
0000000168;!ALIMENTATORE 650 WATT BTX P;3;84
0000000169;!GRUPPO DI CONTINUITA MAXXTR;32;50,1
0000000170;!BORSAPORTA CD CRAZY 24 POST;14;9,57
0000000171;!BORSA PORTA CD SPORT 200 PO;14;22,05
0000000172;!BORSA PORTA CD SPORT 304 PO;14;24,105
0000000173;!BORSAPORTA CD CRAZY 48 POST;14;12
0000000174;!BORSAPORTA CD CRAZY 96 POST;14;13,05
0000000175;!VIDEOPROIETTORE BENQ MP 612;14;397,365
0000000176;!MONITORRELISYS TL565RE 15;47;201
0000000177;!BORSA PORTA CD SPORT 48 POS;14;12,42
0000000178;!BORSA PORTA CD SPORT 24 POS;14;11,505
0000000179;!WEB CAM SWEEX USB;79;16,575
0000000180;!CASE HANTOL KG-201S  WATT S;6;42,5925
0000000181;!CAVO USB MINI 4P 1,8 MT;7;8,19
0000000182;!HUB4 PORTE USB 2.0 ESTERNO;38;14,385
0000000183;!MICROFONO CUFFIA MOD. AURIC;45;9,45
0000000184;!CPUINTEL PENTIUM 4 630 3 GH;20;80,535
0000000185;!CD-R 52X CAKE 50 (100 PZ);11;25,47
0000000186;!CD-R 80MIN VERBATIM DATALIF;48;41,1
0000000187;!CD-R 80MIN VERBATIM DATALIF;48;108,3
0000000188;!CD-R 80MIN VERBATIM DATALIF;48;217,5
0000000189;!DVD+R VERBATIM8X PRINTABLE;11;106,5
0000000190;!CD-R 80 MIN VERBATIM SUPERA;48;7,698
0000000191;!CD-R 80MIN VERBATIM SUPERAZ;48;75
0000000192;!CD-R 80MIN VERBATIM SUPERAZ;48;47,1
0000000193;!CONTRASSEGNO;12;7,5
0000000194;!CD-R 80MIN VERBATIM SUPERAZ;48;126,3
0000000195;!CD-R 80 MIN VERBATIM SUPERA;48;245,1
0000000196;!CASEHANTOL H0311BK NERO ESC;6;58,155
0000000197;!CD-R 80 MIN VERBATIM PRINTA;48;38,745
0000000198;!CD-R 80MIN VERBATIM PRINTAB;48;195
0000000199;!CD-R 80 MIN VERBATIM PRINTA;48;69,99
0000000200;!CD-R 80 MIN VERBATIM PRINTA;48;382,5
0000000201;!DVD+R VERBATIM8X PRINTABLE;11;315
0000000202;!CD-RW VERBATIM 12X IN CAKE;48;70,0167
0000000203;!CD-RW VERBATIM 12X IN CAKE;48;132,49995
0000000204;!GRUPPO DI CONTINUITA SWEEX;32;51,375
0000000205;!CD-RW VERBATIM 12X IN CAKE;48;382,5
0000000206;!CD-RW VERBATIM 12X IN CAKE;48;757,5
0000000207;!DVD+R VERBATIM8X PRINTABLE;11;652,5
0000000208;!CD-RWVERBATIM 12X IN JEWEL;48;71,25
0000000209;!CD-RW VERBATIM12X IN JEWEL;48;135
0000000210;!CD-RW VERBATIM12X IN JEWEL;48;390
0000000211;!CD-RW VERBATIM12X IN JEWEL;48;772,5
0000000212;!DVD+R VERBATIM 8X PRINTABLE;11;7,965
0000000213;!DVD-R VERBATIM 8X CAKE ADVA;11;35,25
0000000214;!HARD DISK MAXTOR 80 GB 7200;33;42,945
000000021457;!NON USARE;82;7,515
0000000215;!DVD-R VERBATIM 8X CAKE ADVA;11;66
0000000216;!DVD-R VERBATIM 8X CAKE ADVA;11;190,5
0000000217;!DVD-R VERBATIM 8X CAKE ADVA;11;390
0000000218;!MASTERIZZATORE CD LG 52X32X;25;26,9955
0000000219;!MEMORIA SO-DIMM DDR 1GB PC3;40;41,295
0000000220;!MONITOR PHILIPS 170S6FG 17;47;198,975
0000000221;!MODEM INTERNO 56K NET-SV92;46;14,265
0000000222;!MOUSETRUST 250S WIRELESS CO;50;15,39
0000000223;!DVD+R VERBATIM 8X CAKE ADVA;11;43,5
0000000224;!DVD+R VERBATIM8X CAKE ADVAN;11;79,5
0000000225;!DVD+R VERBATIM8X CAKE ADVAN;11;217,5
0000000226;!CARTUCCIACOMPATIBILE EPSON;80;8,955
0000000227;!CARTUCCIA COMPATIBILE EPSON;43;10,2
0000000228;!DVD+R VERBATIM 8X CAKE ADVA;11;427,5
0000000229;!DVD-RW VERBATIM 6X IN JEWEL;11;69,975
0000000230;!DVD-R VERBATIM8X IN JEWEL B;11;73,125
0000000231;!DVD-R VERBATIM8X IN JEWEL B;11;138,75
0000000232;!DVD-R VERBATIM 8X IN JEWEL;11;401,25
0000000233;!DVD-R VERBATIM8X IN JEWEL B;11;795
0000000234;!CPU AMD SEMPRON 3000 TRAY;22;100,05
0000000235;!DVD+R VERBATIM 8X IN JEWEL;11;73,5
0000000236;!JOYPAD TRUST PORTA GAME;57;12,1092
